warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id
Prague_1,1/11/2021,7766,,0,0,0,0,0,0,0,0,0,0,4,1742,32096,Prague_1_2021-01-11
Prague_1,1/12/2021,7854,,0,0,0,0,0,0,0,0,0,39.9,4,1765,32256,Prague_1_2021-01-12
Prague_1,1/13/2021,7728,,0,0,0,0,0,0,0,0,0,1.5,4,1752,32370,Prague_1_2021-01-13
Prague_1,1/14/2021,7873,,0,0,0,0,0,0,0,0,0,1.3,7,1794,32432,Prague_1_2021-01-14
Prague_1,1/15/2021,8191,,0,0,0,0,0,0,0,0,0,0,10,1747,32437,Prague_1_2021-01-15
Prague_1,1/16/2021,7660,,0,0,0,0,0,0,0,0,0,1,14,1788,32439,Prague_1_2021-01-16
Prague_1,1/17/2021,7352,,0,0,0,0,0,0,0,0,0,80,10,1705,32378,Prague_1_2021-01-17
Prague_1,1/18/2021,8212,,0,0,0,0,0,0,0,0,0,0.3,8,1795,32391,Prague_1_2021-01-18
Prague_1,1/19/2021,7993,,0,0,0,0,0,0,0,0,0,0.3,7,1734,32410,Prague_1_2021-01-19
Prague_1,1/20/2021,7669,,0,0,0,0,0,0,0,0,0,0.5,4,1729,32282,Prague_1_2021-01-20
Prague_1,1/21/2021,7903,,0,0,0,0,0,0,0,0,0,0,1,1730,32140,Prague_1_2021-01-21
Prague_1,1/22/2021,8491,,0,0,0,0,0,0,0,0,0,0,0,1741,31998,Prague_1_2021-01-22
Prague_1,1/23/2021,7846,,0,0,0,0,0,0,0,0,0,0,0,1729,32167,Prague_1_2021-01-23
Prague_1,1/24/2021,7346,,0,0,0,0,0,0,0,0,0,2.5,1,1698,32522,Prague_1_2021-01-24
Prague_1,1/25/2021,7776,,0,0,0,0,0,0,0,0,0,1,2,1692,32411,Prague_1_2021-01-25
Prague_1,1/26/2021,7735,,0,0,0,0,0,0,0,0,0,0,3,1740,32511,Prague_1_2021-01-26
Prague_1,1/27/2021,7561,,0,0,0,0,0,0,0,0,0,1.8,4,1705,32500,Prague_1_2021-01-27
Prague_1,1/28/2021,7855,,0,0,0,0,0,0,0,0,0,0.3,2,1718,32493,Prague_1_2021-01-28
Prague_1,1/29/2021,8269,,0,0,0,0,0,0,0,0,0,8.6,0,1714,32510,Prague_1_2021-01-29
Prague_1,1/30/2021,8113,,0,0,0,0,0,0,0,0,0,8.4,1,1756,32631,Prague_1_2021-01-30
Prague_1,1/31/2021,7134,,0,0,0,0,0,0,0,0,0,1,1,1694,32794,Prague_1_2021-01-31
Prague_1,2/1/2021,7531,,0,0,0,0,0,0,0,0,0,0,0,1682,32881,Prague_1_2021-02-01
Prague_1,2/2/2021,7676,,0,0,0,0,0,0,0,0,0,0,0,1741,32968,Prague_1_2021-02-02
Prague_1,2/3/2021,7813,,0,0,0,0,0,0,0,0,0,0.5,0,1760,33016,Prague_1_2021-02-03
Prague_1,2/4/2021,7876,,0,0,0,0,0,0,0,0,0,6.1,0,1741,33080,Prague_1_2021-02-04
Prague_1,2/5/2021,8438,,0,0,0,0,0,0,0,0,0,0,0,1726,33119,Prague_1_2021-02-05
Prague_1,2/6/2021,7740,,0,0,0,0,0,0,0,0,0,3.6,3,1729,33106,Prague_1_2021-02-06
Prague_1,2/7/2021,7854,,0,0,0,0,0,0,0,0,0,4.8,5,1771,33194,Prague_1_2021-02-07
Prague_1,2/8/2021,8029,,0,0,0,0,0,0,0,0,0,10.2,11,1770,33255,Prague_1_2021-02-08
Prague_1,2/9/2021,8232,,0,0,0,0,0,0,0,0,0,1.5,15,1794,33366,Prague_1_2021-02-09
Prague_1,2/10/2021,8046,,0,0,0,0,0,0,0,0,0,0.2,15,1780,33464,Prague_1_2021-02-10
Prague_1,2/11/2021,8332,,0,0,0,0,0,0,0,0,0,0.3,15,1836,33560,Prague_1_2021-02-11
Prague_1,2/12/2021,8028,,0,0,0,0,0,0,0,0,0,0,14,1776,33625,Prague_1_2021-02-12
Prague_1,2/13/2021,7748,,0,0,0,0,0,0,0,0,0,0,12,1760,33620,Prague_1_2021-02-13
Prague_1,2/14/2021,7568,,0,0,0,0,0,0,0,0,0,0,12,1778,33685,Prague_1_2021-02-14
Prague_1,2/15/2021,7681,,0,0,0,0,0,0,0,0,0,1.4,12,1772,33656,Prague_1_2021-02-15
Prague_1,2/16/2021,7816,,0,0,0,0,0,0,0,0,0,1.8,12,1736,33721,Prague_1_2021-02-16
Prague_1,2/17/2021,8150,,0,0,0,0,0,0,0,0,0,2,6,1837,33816,Prague_1_2021-02-17
Prague_1,2/18/2021,7603,,0,0,0,0,0,0,0,0,0,0.3,2,1754,33816,Prague_1_2021-02-18
Prague_1,2/19/2021,8077,,0,0,0,0,0,0,0,0,0,0,0,1777,33876,Prague_1_2021-02-19
Prague_1,2/20/2021,7922,,0,0,0,0,0,0,0,0,0,0,0,1774,33921,Prague_1_2021-02-20
Prague_1,2/21/2021,7754,,0,0,0,0,0,0,0,0,0,0,0,1794,33964,Prague_1_2021-02-21
Prague_1,2/22/2021,8064,,0,0,0,0,0,0,0,0,0,0,0,1806,34040,Prague_1_2021-02-22
Prague_1,2/23/2021,8533,,0,0,0,0,0,0,0,0,0,0,0,1861,34195,Prague_1_2021-02-23
Prague_1,2/24/2021,8310,,0,0,0,0,0,0,0,0,0,0,0,1856,34335,Prague_1_2021-02-24
Prague_1,2/25/2021,8510,,0,0,0,0,0,0,0,0,0,0,0,1820,34492,Prague_1_2021-02-25
Prague_1,2/26/2021,8221,,0,0,0,0,0,0,0,0,0,0,0,1795,34623,Prague_1_2021-02-26
Prague_1,2/27/2021,7636,,0,0,0,0,0,0,0,0,0,4.3,0,1832,34707,Prague_1_2021-02-27
Prague_1,2/28/2021,6914,,0,0,0,0,0,0,0,0,0,0,0,1774,34748,Prague_1_2021-02-28
Prague_1,3/1/2021,6888,,0,0,0,0,1,0,0,0,0,0,0,1818,34762,Prague_1_2021-03-01
Prague_1,3/2/2021,7554,,0,0,0,0,1,0,0,0,0,0,0,1830,34879,Prague_1_2021-03-02
Prague_1,3/3/2021,7718,,0,0,0,0,1,0,0,0,0,0,0,1820,34978,Prague_1_2021-03-03
Prague_1,3/4/2021,7849,,0,0,0,0,1,0,0,0,0,0,0,1816,35050,Prague_1_2021-03-04
Prague_1,3/5/2021,7890,,0,0,0,0,1,0,0,0,0,13,0,1825,35092,Prague_1_2021-03-05
Prague_1,3/6/2021,8086,,0,0,0,0,1,0,0,0,0,0.8,0,1858,35172,Prague_1_2021-03-06
Prague_1,3/7/2021,8432,,0,0,0,0,1,0,0,0,0,0,0,1854,35233,Prague_1_2021-03-07
Prague_1,3/8/2021,8212,International womens day,0,0,0,0,1,0,0,0,0,2,1,1825,35299,Prague_1_2021-03-08
Prague_1,3/9/2021,8558,,0,0,0,0,1,0,0,0,0,0,0,1814,35362,Prague_1_2021-03-09
Prague_1,3/10/2021,8522,,0,0,0,0,1,0,0,0,0,0,0,1837,35438,Prague_1_2021-03-10
Prague_1,3/11/2021,8554,,0,0,0,0,1,0,0,0,0,0.3,0,1879,35443,Prague_1_2021-03-11
Prague_1,3/12/2021,8155,,0,0,0,0,1,0,0,0,0,1,0,1801,35384,Prague_1_2021-03-12
Prague_1,3/13/2021,8426,,0,0,0,0,1,0,0,0,0,0,0,1834,35326,Prague_1_2021-03-13
Prague_1,3/14/2021,7984,,0,0,0,0,1,0,0,0,0,0,0,1822,35353,Prague_1_2021-03-14
Prague_1,3/15/2021,8371,,0,0,0,0,0,0,0,0,0,0,0,1846,35417,Prague_1_2021-03-15
Prague_1,3/16/2021,8641,,0,0,0,0,0,0,0,0,0,0.5,0,1826,35483,Prague_1_2021-03-16
Prague_1,3/17/2021,8760,,0,0,0,0,0,0,0,0,0,1,1,1772,35546,Prague_1_2021-03-17
Prague_1,3/18/2021,8560,,0,0,0,0,0,0,0,0,0,0.5,0,1788,35578,Prague_1_2021-03-18
Prague_1,3/19/2021,8574,,0,0,0,0,0,0,0,0,0,1,0,1772,35498,Prague_1_2021-03-19
Prague_1,3/20/2021,8482,,0,0,0,0,0,0,0,0,0,2.3,1,1792,35542,Prague_1_2021-03-20
Prague_1,3/21/2021,8262,,0,0,0,0,0,0,0,0,0,0,0,1762,35612,Prague_1_2021-03-21
Prague_1,3/22/2021,8263,,0,0,0,0,0,0,0,0,0,1.5,0,1758,35654,Prague_1_2021-03-22
Prague_1,3/23/2021,8328,,0,0,0,0,0,0,0,0,0,0,0,1778,35663,Prague_1_2021-03-23
Prague_1,3/24/2021,8076,,0,0,0,0,0,0,0,0,0,0,0,1726,35592,Prague_1_2021-03-24
Prague_1,3/25/2021,8304,,0,0,0,0,0,0,0,0,0,0,0,1718,35476,Prague_1_2021-03-25
Prague_1,3/26/2021,7838,,0,0,0,0,0,0,0,0,0,0,0,1699,35331,Prague_1_2021-03-26
Prague_1,3/27/2021,8760,,0,0,0,0,0,0,0,0,0,0,0,1735,35212,Prague_1_2021-03-27
Prague_1,3/28/2021,7692,,0,0,0,0,0,0,0,0,0,1,0,1734,35148,Prague_1_2021-03-28
Prague_1,3/29/2021,7993,,0,0,0,0,0,0,0,0,0,0,0,1730,35124,Prague_1_2021-03-29
Prague_1,3/30/2021,8056,,0,0,0,0,0,0,0,0,0,0,0,1698,35099,Prague_1_2021-03-30
Prague_1,3/31/2021,8470,,0,0,0,0,0,0,0,0,0,0,0,1741,35140,Prague_1_2021-03-31
Prague_1,4/1/2021,8744,,0,0,0,0,0,0,0,0,0,0,0,1682,35118,Prague_1_2021-04-01
Prague_1,4/2/2021,9224,Good Friday,1,0,0,0,0,0,0,0,0,0,0,1747,35186,Prague_1_2021-04-02
Prague_1,4/3/2021,8491,,1,0,0,0,0,0,0,0,0,0,0,1762,35256,Prague_1_2021-04-03
Prague_1,4/4/2021,7664,,1,0,0,0,0,0,0,0,0,0,0,1722,35264,Prague_1_2021-04-04
Prague_1,4/5/2021,6936,Easter Monday,1,0,0,1,0,0,0,0,0,0,0,1762,35283,Prague_1_2021-04-05
Prague_1,4/6/2021,8568,,0,0,0,0,0,0,0,0,0,2,0,1712,35276,Prague_1_2021-04-06
Prague_1,4/7/2021,8046,,0,0,0,0,0,0,0,0,0,0.8,0,1705,35293,Prague_1_2021-04-07
Prague_1,4/8/2021,8462,,0,0,0,0,0,0,0,0,0,0.5,1,1698,35259,Prague_1_2021-04-08
Prague_1,4/9/2021,8868,,0,0,0,0,0,0,0,0,0,0,0,1722,35180,Prague_1_2021-04-09
Prague_1,4/10/2021,8359,,0,0,0,0,0,0,0,0,0,0,0,1688,35096,Prague_1_2021-04-10
Prague_1,4/11/2021,6961,,0,0,0,0,0,0,0,0,0,0,0,1652,35022,Prague_1_2021-04-11
Prague_1,4/12/2021,8326,,0,0,0,0,0,0,0,0,0,0.5,1,1692,35024,Prague_1_2021-04-12
Prague_1,4/13/2021,8028,,0,0,0,0,0,0,0,0,0,4.3,0,1672,34957,Prague_1_2021-04-13
Prague_1,4/14/2021,7822,,0,0,0,0,0,0,0,0,0,0,0,1718,34909,Prague_1_2021-04-14
Prague_1,4/15/2021,8196,,0,0,0,0,0,0,0,0,0,0,0,1682,34780,Prague_1_2021-04-15
Prague_1,4/16/2021,8683,,0,0,0,0,0,0,0,0,0,1,0,1692,34687,Prague_1_2021-04-16
Prague_1,4/17/2021,8244,,0,0,0,0,0,0,0,0,0,0,0,1672,34627,Prague_1_2021-04-17
Prague_1,4/18/2021,7064,,0,0,0,0,0,0,0,0,0,0.3,0,1642,34514,Prague_1_2021-04-18
Prague_1,4/19/2021,7962,,0,0,0,0,0,0,0,0,0,0.3,0,1669,34433,Prague_1_2021-04-19
Prague_1,4/20/2021,7759,,0,0,0,0,0,0,0,0,0,0.8,0,1686,34342,Prague_1_2021-04-20
Prague_1,4/21/2021,7795,,0,0,0,0,0,0,0,0,0,0,0,1669,34275,Prague_1_2021-04-21
Prague_1,4/22/2021,8131,,0,0,0,0,0,0,0,0,0,1.8,0,1702,34258,Prague_1_2021-04-22
Prague_1,4/23/2021,8722,,0,0,0,0,0,0,0,0,0,0,0,1666,34227,Prague_1_2021-04-23
Prague_1,4/24/2021,7608,,0,0,0,0,0,0,0,0,0,0,0,1690,34174,Prague_1_2021-04-24
Prague_1,4/25/2021,7204,,0,0,0,0,0,0,0,0,0,0,0,1741,34126,Prague_1_2021-04-25
Prague_1,4/26/2021,8124,,0,0,0,0,0,0,0,0,0,0,0,1734,34128,Prague_1_2021-04-26
Prague_1,4/27/2021,7692,,0,0,0,0,0,0,0,0,0,0,0,1730,34114,Prague_1_2021-04-27
Prague_1,4/28/2021,7766,,0,0,0,0,0,0,0,0,0,0,0,1693,34109,Prague_1_2021-04-28
Prague_1,4/29/2021,8257,,0,0,0,0,0,0,0,0,0,0.2,0,1681,34098,Prague_1_2021-04-29
Prague_1,4/30/2021,8892,,0,0,0,0,0,0,0,0,0,0.9,0,1705,34052,Prague_1_2021-04-30
Prague_1,5/1/2021,7627,Labour Day,1,0,0,0,0,0,0,0,0,11.9,0,1660,33968,Prague_1_2021-05-01
Prague_1,5/2/2021,7396,,0,0,0,0,0,0,0,0,0,24.5,0,1670,33746,Prague_1_2021-05-02
Prague_1,5/3/2021,7950,,0,0,0,0,0,0,0,0,0,0,0,1678,33592,Prague_1_2021-05-03
Prague_1,5/4/2021,7531,,0,0,0,0,0,0,0,0,0,0,0,1638,33508,Prague_1_2021-05-04
Prague_1,5/5/2021,7092,,0,0,0,0,0,0,0,0,0,0,0,1636,33394,Prague_1_2021-05-05
Prague_1,5/6/2021,7954,,0,0,0,0,0,0,0,0,0,2.8,0,1646,33294,Prague_1_2021-05-06
Prague_1,5/7/2021,9012,,0,0,0,0,0,0,0,0,0,1.8,0,1692,33276,Prague_1_2021-05-07
Prague_1,5/8/2021,8215,Den osvobozeni,1,0,0,1,0,0,0,0,0,0,0,1708,33325,Prague_1_2021-05-08
Prague_1,5/9/2021,7310,,0,0,0,0,0,0,0,0,0,0,0,1634,33293,Prague_1_2021-05-09
Prague_1,5/10/2021,7878,,0,0,0,0,0,0,0,0,0,0,0,1630,33243,Prague_1_2021-05-10
Prague_1,5/11/2021,6505,,0,0,0,0,0,0,0,0,0,0,0,1615,33206,Prague_1_2021-05-11
Prague_1,5/12/2021,7093,,0,0,0,0,0,0,0,0,0,15.2,0,1633,33123,Prague_1_2021-05-12
Prague_1,5/13/2021,8418,,0,0,0,0,0,0,0,0,0,38.9,0,1681,33108,Prague_1_2021-05-13
Prague_1,5/14/2021,8930,,0,0,0,0,0,0,0,0,0,8.2,0,1660,33135,Prague_1_2021-05-14
Prague_1,5/15/2021,7770,,0,0,0,0,0,0,0,0,0,0.5,0,1642,33116,Prague_1_2021-05-15
Prague_1,5/16/2021,6976,,0,0,0,0,0,0,0,0,0,2.1,0,1624,33046,Prague_1_2021-05-16
Prague_1,5/17/2021,7634,,0,0,0,0,0,0,0,0,0,0.6,0,1627,32985,Prague_1_2021-05-17
Prague_1,5/18/2021,7434,,0,0,0,0,0,0,0,0,0,0,0,1644,33024,Prague_1_2021-05-18
Prague_1,5/19/2021,7430,,0,0,0,0,0,0,0,0,0,1,0,1633,32998,Prague_1_2021-05-19
Prague_1,5/20/2021,7688,,0,0,0,0,0,0,0,0,0,2.3,0,1633,33023,Prague_1_2021-05-20
Prague_1,5/21/2021,8566,,0,0,0,0,0,0,0,0,0,0.6,0,1638,32982,Prague_1_2021-05-21
Prague_1,5/22/2021,7242,,0,0,0,0,0,0,0,0,0,0.2,0,1646,32886,Prague_1_2021-05-22
Prague_1,5/23/2021,6960,,0,0,0,0,0,0,0,0,0,2.2,0,1612,32786,Prague_1_2021-05-23
Prague_1,5/24/2021,7684,,0,0,0,0,0,0,0,0,0,0,0,1624,32770,Prague_1_2021-05-24
Prague_1,5/25/2021,7658,,0,0,0,0,0,0,0,0,0,2.5,0,1630,32740,Prague_1_2021-05-25
Prague_1,5/26/2021,7352,,0,0,0,0,0,0,0,0,0,0.5,0,1632,32648,Prague_1_2021-05-26
Prague_1,5/27/2021,7454,,0,0,0,0,0,0,0,0,0,0,0,1634,32605,Prague_1_2021-05-27
Prague_1,5/28/2021,8365,,0,0,0,0,0,0,0,0,0,0,0,1652,32598,Prague_1_2021-05-28
Prague_1,5/29/2021,6930,,0,0,0,0,0,0,0,0,0,0.7,0,1657,32522,Prague_1_2021-05-29
Prague_1,5/30/2021,6649,,0,0,0,0,0,0,0,0,0,0,0,1620,32383,Prague_1_2021-05-30
Prague_1,5/31/2021,7292,,0,0,0,0,0,0,0,0,0,0,0,1621,32352,Prague_1_2021-05-31
Prague_1,6/1/2021,7051,,0,0,0,0,0,0,0,0,0,0,0,1636,32328,Prague_1_2021-06-01
Prague_1,6/2/2021,7278,,0,0,0,0,0,0,0,0,0,0,0,1638,32288,Prague_1_2021-06-02
Prague_1,6/3/2021,7446,,0,0,0,0,0,0,0,0,0,0,0,1658,32306,Prague_1_2021-06-03
Prague_1,6/4/2021,8190,,0,0,0,0,0,0,0,0,0,0,0,1668,32360,Prague_1_2021-06-04
Prague_1,6/5/2021,6640,,0,0,0,0,0,0,0,0,0,0,0,1632,32261,Prague_1_2021-06-05
Prague_1,6/6/2021,6889,,0,0,0,0,0,0,0,0,0,15,0,1627,32126,Prague_1_2021-06-06
Prague_1,6/7/2021,7300,,0,0,0,0,0,0,0,0,0,0,0,1646,31962,Prague_1_2021-06-07
Prague_1,6/8/2021,7504,,0,0,0,0,0,0,0,0,0,0,0,1669,31901,Prague_1_2021-06-08
Prague_1,6/9/2021,7237,,0,0,0,0,0,0,0,0,0,0.3,0,1710,31906,Prague_1_2021-06-09
Prague_1,6/10/2021,7464,,0,0,0,0,0,0,0,0,0,2,0,1712,32020,Prague_1_2021-06-10
Prague_1,6/11/2021,8016,,0,0,0,0,0,0,0,0,0,0.4,0,1669,32038,Prague_1_2021-06-11
Prague_1,6/12/2021,6463,,0,0,0,0,0,0,0,0,0,0.8,0,1669,31933,Prague_1_2021-06-12
Prague_1,6/13/2021,6658,,0,0,0,0,0,0,0,0,0,0,0,1698,31802,Prague_1_2021-06-13
Prague_1,6/14/2021,7492,,0,0,0,0,0,0,0,0,0,0,0,1687,31728,Prague_1_2021-06-14
Prague_1,6/15/2021,7264,,0,0,0,0,0,0,0,0,0,0,0,1675,31750,Prague_1_2021-06-15
Prague_1,6/16/2021,7226,,0,0,0,0,0,0,0,0,0,0,0,1662,31798,Prague_1_2021-06-16
Prague_1,6/17/2021,7164,,0,0,0,0,0,0,0,0,0,0,0,1668,31806,Prague_1_2021-06-17
Prague_1,6/18/2021,7590,,0,0,0,0,0,0,0,0,0,0,0,1668,31808,Prague_1_2021-06-18
Prague_1,6/19/2021,6530,,0,0,0,0,0,0,0,0,0,0,0,1640,31752,Prague_1_2021-06-19
Prague_1,6/20/2021,6416,,0,0,0,0,0,0,0,0,0,0,0,1634,31660,Prague_1_2021-06-20
Prague_1,6/21/2021,7384,,0,0,0,0,0,0,0,0,0,0,0,1678,31689,Prague_1_2021-06-21
Prague_1,6/22/2021,7706,,0,0,0,0,0,0,0,0,0,22.2,0,1642,31722,Prague_1_2021-06-22
Prague_1,6/23/2021,7201,,0,0,0,0,0,0,0,0,0,28.8,0,1646,31718,Prague_1_2021-06-23
Prague_1,6/24/2021,6976,,0,0,0,0,0,0,0,0,0,2.8,0,1642,31679,Prague_1_2021-06-24
Prague_1,6/25/2021,7555,,0,0,0,0,0,0,0,0,0,9.7,0,1632,31683,Prague_1_2021-06-25
Prague_1,6/26/2021,6409,,0,0,0,0,0,0,0,0,0,0,0,1620,31574,Prague_1_2021-06-26
Prague_1,6/27/2021,6458,,0,0,0,0,0,0,0,0,0,0,0,1616,31420,Prague_1_2021-06-27
Prague_1,6/28/2021,8461,,0,0,0,0,0,0,0,0,0,0,0,1668,32008,Prague_1_2021-06-28
Prague_1,6/29/2021,7477,,0,0,0,0,0,0,0,0,0,13.1,0,1640,32127,Prague_1_2021-06-29
Prague_1,6/30/2021,6738,,0,0,0,0,0,0,0,0,0,0.2,0,1618,32144,Prague_1_2021-06-30
Prague_1,7/1/2021,6728,,0,0,0,0,0,0,0,0,0,1,0,1621,32167,Prague_1_2021-07-01
Prague_1,7/2/2021,7562,,0,0,0,0,0,0,0,0,0,6.5,0,1684,32224,Prague_1_2021-07-02
Prague_1,7/3/2021,5932,,0,0,0,0,0,0,0,0,0,0,0,1615,32114,Prague_1_2021-07-03
Prague_1,7/4/2021,5689,,0,0,0,0,0,0,0,0,0,0,0,1615,31993,Prague_1_2021-07-04
Prague_1,7/5/2021,5796,Cyrila a Metodej,1,0,0,0,0,0,0,0,0,0,0,1627,32000,Prague_1_2021-07-05
Prague_1,7/6/2021,6132,Jan Hus,1,0,0,0,0,0,0,0,0,0,0,1650,31977,Prague_1_2021-07-06
Prague_1,7/7/2021,6415,,0,0,0,0,0,0,0,0,0,2.7,0,1620,31962,Prague_1_2021-07-07
Prague_1,7/8/2021,6229,,0,0,0,0,0,0,0,0,0,30.1,0,1620,31945,Prague_1_2021-07-08
Prague_1,7/9/2021,7164,,0,0,0,0,0,0,0,0,0,14,0,1644,31973,Prague_1_2021-07-09
Prague_1,7/10/2021,6294,,0,0,0,0,0,0,0,0,0,0,0,1620,31842,Prague_1_2021-07-10
Prague_1,7/11/2021,6086,,0,0,0,0,0,0,0,0,0,4.3,0,1657,31779,Prague_1_2021-07-11
Prague_1,7/12/2021,6799,,0,0,0,0,0,0,0,0,0,0,0,1644,31834,Prague_1_2021-07-12
Prague_1,7/13/2021,6952,,0,0,0,0,0,0,0,0,0,11.6,0,1645,31849,Prague_1_2021-07-13
Prague_1,7/14/2021,6656,,0,0,0,0,0,0,0,0,0,21.1,0,1630,31834,Prague_1_2021-07-14
Prague_1,7/15/2021,6790,,0,0,0,0,0,0,0,0,0,0,0,1684,31774,Prague_1_2021-07-15
Prague_1,7/16/2021,7290,,0,0,0,0,0,0,0,0,0,0.1,0,1660,31721,Prague_1_2021-07-16
Prague_1,7/17/2021,6438,,0,0,0,0,0,0,0,0,0,0.9,0,1624,31661,Prague_1_2021-07-17
Prague_1,7/18/2021,6356,,0,0,0,0,0,0,0,0,0,0.1,0,1608,31590,Prague_1_2021-07-18
Prague_1,7/19/2021,6572,,0,0,0,0,0,0,0,0,0,0,0,1606,31594,Prague_1_2021-07-19
Prague_1,7/20/2021,6704,,0,0,0,0,0,0,0,0,0,0,0,1648,31684,Prague_1_2021-07-20
Prague_1,7/21/2021,6512,,0,0,0,0,0,0,0,0,0,0,0,1618,31615,Prague_1_2021-07-21
Prague_1,7/22/2021,6649,,0,0,0,0,0,0,0,0,0,0,0,1636,31508,Prague_1_2021-07-22
Prague_1,7/23/2021,6914,,0,0,0,0,0,0,0,0,0,0,0,1624,31424,Prague_1_2021-07-23
Prague_1,7/24/2021,5874,,0,0,0,0,0,0,0,0,0,0,0,1627,31311,Prague_1_2021-07-24
Prague_1,7/25/2021,6186,,0,0,0,0,0,0,0,0,0,0,0,1612,31190,Prague_1_2021-07-25
Prague_1,7/26/2021,6697,,0,0,0,0,0,0,0,0,0,0.7,0,1630,31295,Prague_1_2021-07-26
